ID,ResortName,Continent,Country,StateProvince,URL,Altitude,Easy,Intermediate,Difficult,Funicular,CirculatingRopewayGondola,Chairlift,T-barPlatterButton,SunkidMovingCarpet,Adult,Youth,Child,Currency,ResortSize,SlopeOfferingVariety,LiftsAndCableCars,SnowReliability,SlopePreparation,AccessParking,Orientation,Cleanliness,EnvironmentallyFriendly,StaffFriendliness,Restaurants,ApresSki,AccomodationsToLifts,FamiliesChildren,Beginners,Advanced,SnowParks,Cross-countryTrails,AerialTramwayReverseRopeway,RopeTowBeginnerLift,PeopleMover,CombinedGondolaChair,CogRailway,Helicopter,SnowCaterpillars,Latitude,Longitude
357,bear-creek-mountain-resort,North America,USA,Pennsylvania,http://www.skiresort.info/ski-resort/bear-creek-mountain-resort/,335,3,4,3,,,0,,,67,0,58,US Dollar,2,2.4,3,,,,,,,,,,,,,,,,,,0,,,,,40.4753327,-75.6252952
358,bear-mountain-big-bear-lake,North America,USA,California,http://www.skiresort.info/ski-resort/bear-mountain-big-bear-lake/,2684,8,11.2,8,,,0,,,89,73,36,US Dollar,2.7,3.1,3.4,,,,,,,,,,,,,,,,,,0,,,,,34.2276705,-116.8608046
359,bear-paw-ski-bowl,North America,USA,Montana,http://www.skiresort.info/ski-resort/bear-paw-ski-bowl/,1609,3,6,1,,,,,,20,0,18,US Dollar,,,,,,,,,,,,,,,,,,,,,,,,,,48.1649918,-109.6701448
360,bear-valley,North America,USA,California,http://www.skiresort.info/ski-resort/bear-valley/,2590,17,27,23,,,0,,,79,68,32,US Dollar,3.5,3.9,3.4,,,,,,,,,,,,,,,,,,0,,,,,38.4646337,-120.0399088
361,bears-den-mountain-fort-ransom,North America,USA,North Dakota,http://www.skiresort.info/ski-resort/bears-den-mountain-fort-ransom/,430,2,2,0,,,,,,25,0,21,US Dollar,,,,,,,,,,,,,,,,,,,,,,,,,,46.5265206,-97.935833
364,beartooth-basin,North America,USA,Wyoming,http://www.skiresort.info/ski-resort/beartooth-basin/,3322,0,2,3,,,,0,,45,0,0,US Dollar,1.7,1.7,1.5,,,,,,,,,,,,,,,,,,,,,,,44.9751148,-109.4347501
365,beartown,North America,USA,New York,http://www.skiresort.info/ski-resort/beartown/,304,0.5,0.3,0,,,,0,,22,0,20,US Dollar,1.2,1.2,1.5,,,,,,,,,,,,,,,,,,,,,,,44.7580964,-73.5804158
366,beauce-vallee-jonction,North America,Canada,Quebec,http://www.skiresort.info/ski-resort/beauce-vallee-jonction/,212,0.5,1.8,0.8,,,,0,,17,13,11,Canadian Dollar,1.5,1.8,1.5,,,,,,,,,,,,,,,,,,0,,,,,46.3718514,-70.9291984
367,beaver-creek,North America,USA,Colorado,http://www.skiresort.info/ski-resort/beaver-creek/,3488,28.5,64.5,57,,0,0,,,189,0,130,US Dollar,4,5,4,5,5,4,5,4,3,5,4,4,5,5,5,5,5,3,,,0,0,,,,39.604225,-106.516515
368,beaver-mountain,North America,USA,Utah,http://www.skiresort.info/ski-resort/beaver-mountain/,2700,10,12,8,,,0,,,48,0,38,US Dollar,2.8,3.2,3,,,,,,,,,,,,,,,,,,0,,,,,41.9640972,-111.5579911
369,beaver-valley-ski-club,North America,Canada,Ontario,http://www.skiresort.info/ski-resort/beaver-valley-ski-club/,410,3,8,4,,,0,,,75,0,50,Canadian Dollar,2.2,2.5,3,,,,,,,,,,,,,,,,,,0,,,,,44.357747,-80.544822
373,beech-mountain,North America,USA,North Carolina,http://www.skiresort.info/ski-resort/beech-mountain/,1678,3,7,4,,,0,0,,65,0,45,US Dollar,2.2,2.5,3.3,,,,,,,,,,,,,,,,,,,,,,,36.2109584,-81.8890031
374,beef-trail,North America,USA,Montana,http://www.skiresort.info/ski-resort/beef-trail/,0,,,,,,,,,0,0,0,-,,,,,,,,,,,,,,,,,,,,,,,,,,45.9615774,-112.5771632
386,bella-coola,North America,Canada,British Columbia,http://www.skiresort.info/ski-resort/bella-coola/,0,,,,,,,,,0,0,0,-,,,,,,,,,,,,,,,,,,,,,,,,0,,52.3721277,-126.7539346
387,belle-neige,North America,Canada,Quebec,http://www.skiresort.info/ski-resort/belle-neige/,307,8,4,8,,,,,,42,34,28,Canadian Dollar,,,,,,,,,,,,,,,,,,,,,0,,,,,46.0016046,-74.2148539
388,belleayre-mountain,North America,USA,New York,http://www.skiresort.info/ski-resort/belleayre-mountain/,1045,5,11,4,,0,0,,,68,58,46,US Dollar,2.4,2.7,3.6,,,,,,,,,,,,,,,,,,0,,,,,42.1322453,-74.505312
396,ben-eoin,North America,Canada,Nova Scotia,http://www.skiresort.info/ski-resort/ben-eoin/,154,3,4,3,,,0,0,0,38,0,0,Canadian Dollar,2,2.4,2.3,,,,,,,,,,,,,,,,,0,,,,,,45.9740292,-60.4339797
412,berkshire-east,North America,USA,Massachusetts,http://www.skiresort.info/ski-resort/berkshire-east/,561,6,4,3,,,,,,62,52,42,US Dollar,,,,,,,,,,,,,,,,,,,,,0,,,,,42.622664,-72.878383
442,big-bam-taylor,North America,Canada,British Columbia,http://www.skiresort.info/ski-resort/big-bam-taylor/,469,0.3,0.2,0.1,,,,,,20,0,15,Canadian Dollar,1.2,1.5,1,,,,,,,,,,,,,,,,,0,,,,,,56.1312083,-120.7001889
443,big-bear-at-masthope-mountain,North America,USA,Pennsylvania,http://www.skiresort.info/ski-resort/big-bear-at-masthope-mountain/,450,3,2,2,,,0,,,59,0,45,US Dollar,1.9,2.3,3,,,,,,,,,,,,,,,,,,0,,,,,41.5232598,-75.0250626
444,big-boulder,North America,USA,Pennsylvania,http://www.skiresort.info/ski-resort/big-boulder/,663,3,1,0,,,,,,58,0,45,US Dollar,,,,,,,,,,,,,,,,,,,,,0,,,,,41.0488459,-75.5873438
445,big-creek-ski-area,North America,USA,Ohio,http://www.skiresort.info/ski-resort/big-creek-ski-area/,320,1,0,0,,,,,,0,0,0,-,,,,,,,,,,,,,,,,,,,,,,,,,,41.647257,-81.184051
446,big-powderhorn-mountain,North America,USA,Michigan,http://www.skiresort.info/ski-resort/big-powderhorn-mountain/,540,3.5,3.5,3,,,,,,65,54,44,US Dollar,,,,,,,,,,,,,,,,,,,,,,,,,,46.5097428,-90.0941598
447,big-sky-resort,North America,USA,Montana,http://www.skiresort.info/ski-resort/big-sky-resort/,3398,55,69,126,,,0,0,,135,115,86,US Dollar,4.9,5,3.6,,,,,,,,,,,,,,,,0,0,0,,,,,45.2857289,-111.4012076
448,big-squaw,North America,USA,Maine,http://www.skiresort.info/ski-resort/big-squaw/,933,3,3,2,,,,,,30,0,25,US Dollar,,,,,,,,,,,,,,,,,,,,,,,,,,45.4842129,-69.7111681
449,big-tupper-tupper-lake,North America,USA,New York,http://www.skiresort.info/ski-resort/big-tupper-tupper-lake/,1082,5,5,2,,,,,,0,0,0,-,,,,,,,,,,,,,,,,,,,,,,,,,,44.1693999,-74.4794083
450,big-white,North America,Canada,British Columbia,http://www.skiresort.info/ski-resort/big-white/,2285,18.9,56.7,29.4,,0,0,0,,105,89,62,Canadian Dollar,4,5,4,4,5,3,4,4,4,5,4,3,5,5,5,4,5,3,,,0,,,,,49.7216277,-118.9265789
454,bigrock-mountain,North America,USA,Maine,http://www.skiresort.info/ski-resort/bigrock-mountain/,498,2,14,4,,,0,,,38,27,17,US Dollar,2.4,2.7,3,,,,,,,,,,,,,,,,,,0,,,,,46.5224036,-67.8289461
468,bittersweet,North America,USA,Michigan,http://www.skiresort.info/ski-resort/bittersweet/,324,,,,,,,,0,44,0,36,US Dollar,,,,,,,,,,,,,,,,,,,,,,,,,,42.467159,-85.758719
477,black-mountain-jackson,North America,USA,New Hampshire,http://www.skiresort.info/ski-resort/black-mountain-jackson/,570,6,4,2,,,,,,55,42,38,US Dollar,,,,,,,,,,,,,,,,,,,,,,,,,,44.2252777,-71.1555555
