ID,ResortName,Continent,Country,StateProvince,URL,Altitude,Easy,Intermediate,Difficult,Adult,Youth,Child,Currency,ResortSize,SlopeOfferingVariety,LiftsAndCableCars,Latitude,Longitude
3446,otsego-gaylord,North America,USA,Michigan,http://www.skiresort.info/ski-resort/otsego-gaylord/,422,3,2,2,65,55,50,US Dollar,1.9,2.3,3,45.0275126,-84.6747523
373,beech-mountain,North America,USA,North Carolina,http://www.skiresort.info/ski-resort/beech-mountain/,1678,3,7,4,65,0,45,US Dollar,2.2,2.5,3.3,36.2109584,-81.8890031
4239,shawnee-peak,North America,USA,Maine,http://www.skiresort.info/ski-resort/shawnee-peak/,550,4,12,7,65,0,50,US Dollar,2.5,2.8,3,44.058996,-70.815538
1076,eagle-point,North America,USA,Utah,http://www.skiresort.info/ski-resort/eagle-point/,3230,6,9,5,65,0,50,US Dollar,2.4,2.8,3,38.3203245,-112.3838562
733,catamount,North America,USA,Massachusetts,http://www.skiresort.info/ski-resort/catamount/,580,8,4,3,66,0,56,US Dollar,2.2,2.5,3,42.1690998,-73.4769258
3525,pats-peak,North America,USA,New Hampshire,http://www.skiresort.info/ski-resort/pats-peak/,426,10,8,15,66,0,56,US Dollar,2.7,3,2.9,43.1639733,-71.7976596
679,caledon-ski-club,North America,Canada,Ontario,http://www.skiresort.info/ski-resort/caledon-ski-club/,414,2,2.5,1.5,67,57,50,Canadian Dollar,1.7,2.1,3,43.8017614,-80.0124143
357,bear-creek-mountain-resort,North America,USA,Pennsylvania,http://www.skiresort.info/ski-resort/bear-creek-mountain-resort/,335,3,4,3,67,0,58,US Dollar,2,2.4,3,40.4753327,-75.6252952
2700,magic-mountain,North America,USA,Vermont,http://www.skiresort.info/ski-resort/magic-mountain/,868,7,7,9,67,59,48,US Dollar,2.6,3,3,43.201708,-72.772646
684,camelback,North America,USA,Pennsylvania,http://www.skiresort.info/ski-resort/camelback/,623,20,11,3,67,0,49,US Dollar,2.7,2.9,3.3,41.0422088,-75.3520169
3963,roundtop,North America,USA,Pennsylvania,http://www.skiresort.info/ski-resort/roundtop/,410,1.5,3,3,68,0,56,US Dollar,1.9,2.2,3,39.7959301,-77.2310958
4651,suicide-six,North America,USA,Vermont,http://www.skiresort.info/ski-resort/suicide-six/,411,3.5,4,3,68,0,50,US Dollar,2,2.4,3,43.6650614,-72.5432659
388,belleayre-mountain,North America,USA,New York,http://www.skiresort.info/ski-resort/belleayre-mountain/,1045,5,11,4,68,58,46,US Dollar,2.4,2.7,3.6,42.1322453,-74.505312
604,bromont,North America,Canada,Quebec,http://www.skiresort.info/ski-resort/bromont/,565,10,15,20,68,52,37,Canadian Dollar,3,3.3,3.3,45.2852479,-72.6872419
4236,shanty-creek-resorts-summit-mountain,North America,USA,Michigan,http://www.skiresort.info/ski-resort/shanty-creek-resorts-summit-mountain/,300,0.8,2.5,0.7,69,59,54,US Dollar,1.5,1.8,3,44.9492614,-85.1851468
3068,mt-baldy,North America,USA,California,http://www.skiresort.info/ski-resort/mt-baldy/,2620,3,6,11,69,49,39,US Dollar,2.5,2.8,3,34.2363809,-117.6589752
5174,wachusett-mountain,North America,USA,Massachusetts,http://www.skiresort.info/ski-resort/wachusett-mountain/,611,3.6,4.8,3.6,69,0,56,US Dollar,2.1,2.5,4.1,42.4891723,-71.8870425
3051,mountain-creek-vernon,North America,USA,New Jersey,http://www.skiresort.info/ski-resort/mountain-creek-vernon/,451,4,14,6,69,0,53.99,US Dollar,2.5,2.8,3.4,41.1907548,-74.5052234
4014,saddleback,North America,USA,Maine,http://www.skiresort.info/ski-resort/saddleback/,1220,4,8,10,69,0,59,US Dollar,2.6,2.9,2.9,44.936723,-70.5031231
4235,shanty-creek-resorts-schuss-mountain,North America,USA,Michigan,http://www.skiresort.info/ski-resort/shanty-creek-resorts-schuss-mountain/,356,5,4,3,69,59,54,US Dollar,2.1,2.5,3,44.9492614,-85.1851468
4759,tamarack-resort,North America,USA,Idaho,http://www.skiresort.info/ski-resort/tamarack-resort/,2347,12,20,10,69,44,30,US Dollar,3,3.3,4,44.669782,-116.124104
1037,donner-ski-ranch,North America,USA,Western United States,http://www.skiresort.info/ski-resort/donner-ski-ranch/,2371,13,26,13,69,59,29,US Dollar,3.1,3.5,3,39.3176821,-120.3303293
589,brian-head,North America,USA,Utah,http://www.skiresort.info/ski-resort/brian-head/,3328,22,24,25,69,0,50,US Dollar,3.5,3.9,3.3,37.6927551,-112.8507766
2450,las-vegas-ski-and-snowboard-resort-lee-canyon,North America,USA,Nevada,http://www.skiresort.info/ski-resort/las-vegas-ski-and-snowboard-resort-lee-canyon/,2856,0.3,5,2,70,0,60,US Dollar,1.9,2.1,2.8,36.3037018,-115.6796327
2766,massanutten,North America,USA,Virginia,http://www.skiresort.info/ski-resort/massanutten/,871,2,3.5,2.5,70,0,60,US Dollar,1.9,2.3,2.9,38.4095701,-78.7378004
1786,holimont,North America,USA,New York,http://www.skiresort.info/ski-resort/holimont/,689,4,6,10,70,0,55,US Dollar,2.4,2.7,3.2,42.2732483,-78.689067
499,blue-mountain-resort-collingwood,North America,Canada,Ontario,http://www.skiresort.info/ski-resort/blue-mountain-resort-collingwood/,450,6.1,14.3,8.9,70,53,10,Canadian Dollar,2.6,2.9,4,44.503346,-80.310917
4673,sundance,North America,USA,Utah,http://www.skiresort.info/ski-resort/sundance/,2515,15,20,9,70,0,43,US Dollar,3,3.3,3,40.3934222,-111.5887709
5303,wolf-creek,North America,USA,Colorado,http://www.skiresort.info/ski-resort/wolf-creek/,3628,20,35,45,70,0,36,US Dollar,3.9,4.2,3.4,36.9875272,-106.4946394
